question,sql
"Can you explain the causes for the breaches reported during this period?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What were the main reasons for the referral breaches that occurred?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What was the cause of these referral breaches from Friday to Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you share details on why the referral breaches occurred during this period?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What contributed to the referral breaches from Friday until 0600hrs Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you tell me the reason behind these referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What were the factors that caused the referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you provide reasons for why these referral breaches occurred?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What was the underlying cause of these referral breaches from Friday to Monday morning?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you explain the reasons for the breaches in referrals over this weekend?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What led to these breaches in referral conditions from Friday to 0600hrs Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What were the reasons for the referral breaches between Friday and Monday 0600hrs?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you tell me the cause of these referral breaches that occurred?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What were the contributing factors to the referral breaches between Friday and Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Why did these breaches in referrals happen from Friday to Monday morning?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you explain the cause behind these referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What was the reason for the referral breaches during the period from Friday to 0600hrs Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you provide details on what led to the referral breaches from Friday to Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What were the reasons behind the referral breaches over this period?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What caused the referral breaches between Friday and 0600hrs Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
